Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
Sudan,4th,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8,8.42,8.42,8.3,8.435,1.19,8.2,Alert
Somalia,2nd,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5,8.45,8.45,6.65,8.1625,1.54,7.68,Alert
Congo Democratic Republic,5th,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8,4.98,4.98,6.33,6.378,5.66,4.69,Alert
South Sudan,1st,10,10,10,9,8.8,6.9,10,10,10,9.8,10,10,7.81,7.81,7.49,7.9935,1.29,7.06,Alert
Syria,9th,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9,8.82,8.82,5.74,7.647,2.42,8.18,Alert
Yemen,7th,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,4.88,4.88,7.53,8.247,1.87,4.62,Alert
Central African Republic,3rd,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,9.19,9.19,8.2,3.369,0.44,8.9,Alert
Chad,6th,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,3.47,3.47,5.07,4.95,9.35,3.38,Alert
Afghanistan,8th,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,4.79,4.79,6.04,2.7165,6.81,3.98,Alert
Liberia,21st,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,6.62,6.62,7.44,7.39,2.01,7.21,Alert
Guinea,10th,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,7.51,7.51,7.34,6.018,1.11,7.25,Alert
Haiti,11th,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,4.21,4.21,5.52,5.6095,6.24,3.53,Warning
Guinea Bissau,17th,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8,6.37,6.37,7.18,4.2405,2.51,5.08,Warning
Nigeria,14th,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6,5.55,5.55,6.48,6.095,3.34,4.75,Warning
Zimbabwe,16th,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6,8.36,8.36,5.85,8.32,1.23,6.81,Warning
Iraq,12th,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,6.15,6.15,6.8,6.0785,2.36,5.25,Warning
Pakistan,13th,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,3.51,3.51,7.49,6.5935,0.48,2.06,Warning
Burundi,18th,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,3.99,3.99,5.87,3.821,6.22,2.61,Warning
Bangladesh,32nd,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,8.23,8.23,7.66,4.3,0.56,7.17,Warning
Niger,19th,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,6.37,6.37,6.59,6.4215,4.07,5.46,Warning
Mali,30th,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3,8.96,8.96,7.33,6.7645,3.7,7.83,Warning
Tajikistan,57th,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4,7.64,7.64,5.57,7.612,8.74,7.52,Warning
Rwanda,37th,6.2,8,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8,7.9,7.8,6.79,6.79,7.46,7.9545,1.81,6.37,Warning
Kenya,21st,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,9.02,9.02,8.35,6.256,1.58,8.42,Warning
Uzbekistan,52nd,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1,7.23,7.23,7.28,8.73,4.61,6.41,Warning
Cote dIvoire,15th,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7,7.75,7.75,7.94,3.6905,0.86,6.84,Warning
Jordan,81st,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8,8.81,8.81,8.31,5.405,1.39,8.04,Warning
Myanmar,27th,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,7.01,7.01,6.91,6.7055,1.39,7.25,Warning
Uganda,23rd,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3,7.38,7.38,6.94,8.248,0.35,6.41,Warning
